"id_fornecedor","id_rel_residuo","residuo","tipo_residuo","acondicionamento","estado_fisico","tecnologia","classe","categoria"
60,30034,Vidro,Vidro,Caçamba Roll On - 40m³,Sólido,Reciclagem,B,Reciclável
60,30357,Restos de Alimento,Orgânico,Caixa de Papelão,Sólido,Compostagem,II-A,Não Reciclável
60,30513,Argamassa,Lixo Comum,Baia,Líquido,Aterro Sanitário,C,Reciclável
60,30513,Argamassa,Lixo Comum,Baia,Líquido,Aterro Sanitário,C,Reciclável
60,34285,teste,Agrícola,Baia,Gasoso,Armazenamento Temporário,I,Reciclável
60,34481,Teste Gabi,Jardinagem,Big-Bags,Sólido,Aterro Sanitário,II-A,Reciclável
60,34482,Teste gabi 2,Líquidos Diversos,Barrica de Papelão,Pastoso,Autoclavagem,C,Reciclável
60,34851,RESIDUO 12,Recicláveis,Big-Bags,Sólido,Reciclagem,II-A,Reciclável
60,34506,AAAA,Recicláveis,Barrica de Papelão,Pastoso,Aterro Industrial,II-A,Reciclável
60,33257,Cadeira usada,Líquidos Diversos,Baia,Líquido,Aterro Sanitário,C,Reciclável
60,33254,Teste William,Madeira,Big-Bags,Gasoso,Aterro Comum,II-A,Reciclável
60,36086,Metil metacrilato,Lodo,"Caçamba basculante 17,5M³",Sólido,Incineração,I,Reciclável
60,37915,Resíduo 30/04,Construção Civil,Caçamba Poli - 10m³,Sólido,Aterro Comum,II-A,Não Reciclável
60,38231,Blister,Construção Civil,Barrica de Papelão,Líquido,Aterro Industrial,II-A,Reciclável
60,38232,Blister,Construção Civil,Barrica de Papelão,Líquido,Aterro Industrial,II-A,Reciclável
60,38232,Blister,Construção Civil,Barrica de Papelão,Líquido,Aterro Industrial,II-A,Reciclável
60,34506,AAAA,Recicláveis,Barrica de Papelão,Pastoso,Aterro Industrial,II-A,Reciclável
60,36426,agua de efluente,Agrícola,Barrica de Papelão,Pastoso,Aterro Sanitário,I,Não Reciclável
60,36426,agua de efluente,Agrícola,Barrica de Papelão,Pastoso,Aterro Sanitário,I,Não Reciclável
60,36426,agua de efluente,Agrícola,Barrica de Papelão,Pastoso,Aterro Sanitário,I,Não Reciclável
60,30033,Tijolo,Construção Civil,Caçamba 36 m³,Sólido,Reúso,A,Reciclável
60,43706,Resíduo entrada ,Jardinagem,Baia,Gasoso,Aterro Comum,C,Reciclável
60,43707,Resíduo entrada 2,Jardinagem,Baia,Gasoso,Autoclavagem,E,Reciclável
60,1,Filme plástico incolor,Plásticos,Big-Bags,Sólido,Reciclagem,II-A,Reciclável
60,1,Filme plástico incolor,Plásticos,Big-Bags,Sólido,Reciclagem,II-A,Reciclável
60,51547,Pomada,Lixo Comum,Big-Bags,Sólido,Aterro Sanitário,II-A,Não Reciclável
60,51548,Pomada,Lixo Comum,Barrica de Papelão,Sólido,Aterro Sanitário,II-A,Não Reciclável
60,53154,Arcos ,Construção Civil,Barrica de Papelão,Líquido,Aterro Industrial,II-A,Reciclável
60,54210, Guias e revistas dos ciclos de venda,Construção Civil,Baia,Gasoso,Armazenamento Temporário,II-A,Reciclável
60,54283,Resíduo Prod ,Embalagem Contaminada,Barrica de Papelão,Sólido,Aterro Comum,II-A,Reciclável
60,30801,Cacos,Vidro,Baia,Sólido,Descaracterização,II-A,Reciclável
60,50616,"6311",Lixo Infectante,Bombona 5 Litros,Líquido,Reciclagem,A,Reciclável
60,36426,agua de efluente,Agrícola,Barrica de Papelão,Pastoso,Aterro Sanitário,I,Não Reciclável
60,50616,"6311",Lixo Infectante,Bombona 5 Litros,Líquido,Reciclagem,A,Reciclável
60,63182,Ferro1,Metal Ferroso,Big-Bags,Sólido,Aterro Industrial,II-A,Não Reciclável
60,63196,"001",Sucata Eletrônica,Caixa de Papelão,Sólido,Reúso,I,Reciclável
60,63196,"001",Sucata Eletrônica,Caixa de Papelão,Sólido,Aterro Comum,II-A,Reciclável
60,63551,"0410",Agrícola,Big-Bags,Sólido,Biomassa,II-A,Não Reciclável
60,63787,dfsdafffdfgg,Agrícola,Barrica de Papelão,Líquido,Aterro Comum,A,Reciclável
60,64795,Ferro10,Metal,Caçamba 36 m³,Sólido,Aterro Industrial,I,Não Reciclável
60,65231,Alumínio,Metal Não Ferroso,Tambor,Sólido,Aterro Industrial,C,Reciclável
60,59017,Baterias elétricas,Sucata Eletrônica,Baia,Sólido,Armazenamento Temporário,II-A,Reciclável
60,59017,Baterias elétricas,Sucata Eletrônica,Baia,Sólido,Armazenamento Temporário,II-A,Reciclável
60,66492,Garrafa Pet colorida,Plásticos,Big-Bags,Sólido,Armazenamento Temporário,II-A,Reciclável
60,69920,Efluente 42 ,Efluente Não Doméstico Industrial,Baiaê,Sólido,Tratamento de Efluentes - ETE,II-A,Reciclável
60,65231,Alumínio,Metal Não Ferroso,Tambor,Sólido,Aterro Industrial,C,Reciclável
60,71103,Teste edição ,Recicláveis,Baiaás,Líquido,Reciclagem,II-A,Reciclável
60,71137,papel teste,Papéis,Caçamba Roll On - 20m³,Sólido,Reciclagem,II-A,Reciclável
60,71529,Poda,Jardinagem,Baia,Sólido,Aterro Comum,II-A,Não Reciclável
60,32566,Aparelho eletrônico,Agrícola,Barrica de Papelão,Líquido,Aterro Industrial,II-A,Reciclável
60,32566,Aparelho eletrônico,Agrícola,Barrica de Papelão,Líquido,Aterro Comum,II-A,Reciclável
60,32566,Aparelho eletrônico,Agrícola,Barrica de Papelão,Líquido,Armazenamento Temporário,I,Efluente Industrial
60,77182,Papel Brilhante ,Recicláveis,Barrica de Papelão,Sólido,Reprocessamento ,II-B,Reciclável
60,77182,Papel Brilhante ,Recicláveis,Barrica de Papelão,Sólido,Coprocessamento,II-A,Reciclável
60,77182,Papel Brilhante ,Recicláveis,Barrica de Papelão,Sólido,Reciclagem,II-A,Reciclável
60,77364,Resíduo N Tecnologia 1,Recicláveis,Caixa,Sólido,Reúso,II-A,Reciclável
60,77364,Resíduo N Tecnologia 1,Recicláveis,Caixa,Sólido,Aterro Industrial,II-A,Não Reciclável
60,77364,Resíduo N Tecnologia 1,Recicláveis,Caixa,Sólido,Reciclagem,II-A,Reciclável
60,77364,Resíduo N Tecnologia 1,Recicláveis,Caixa,Sólido,Recuperação,II-A,Reciclável
60,32566,Aparelho eletrônico,Agrícola,Barrica de Papelão,Líquido,Aterro Industrial,II-A,Reciclável
60,32566,Aparelho eletrônico,Agrícola,Barrica de Papelão,Líquido,Aterro Comum,II-A,Reciclável
60,32566,Aparelho eletrônico,Agrícola,Barrica de Papelão,Líquido,Armazenamento Temporário,I,Efluente Industrial
60,32566,Aparelho eletrônico,Agrícola,Barrica de Papelão,Líquido,Aterro Industrial,II-A,Reciclável
60,32566,Aparelho eletrônico,Agrícola,Barrica de Papelão,Líquido,Aterro Comum,II-A,Reciclável
60,32566,Aparelho eletrônico,Agrícola,Barrica de Papelão,Líquido,Armazenamento Temporário,I,Efluente Industrial
60,77710,Blue 18.05,Recicláveis,Big-Bags,Sólido,Reciclagem,II-A,Reciclável
60,77712,teste thay 4544,Efluente Doméstico,Baiaê,Pastoso,Aterro Industrial,II-B,Efluente Sanitário
60,77715,TESTE RESIDUO VINC,Efluente Doméstico,Barrica de Papelão,Pastoso,Aterro Industrial,II-B,Efluente Industrial
60,77726,TESTE PDF,Agrícola,Big-Bags,Pastoso,Aterro Comum,II-B,Reciclável
60,77729,ssss,Construção Civil,Barrica de Papelão,Pastoso,Aterro Comum,II-B,Reciclável
60,83677,Papelão Ondulado Rosa ,Recicláveis,Caçamba 36 m³,Sólido,Aterro Comum,II-A,Reciclável
60,83677,Papelão Ondulado Rosa ,Recicláveis,Caçamba 36 m³,Sólido,Reciclagem,II-A,Reciclável
60,83683,Bateria NiCd,Pilha e Bateria,Big-Bags,Sólido,Remanufatura,II-A,Reciclável
60,83688,teste 30/05,Metal,Baia,Sólido,Descaracterização,II-A,Reciclável
60,30036,Gesso,Construção Civil,"",Sólido,Reciclagem,B,Reciclável
60,30036,Gesso,Construção Civil,"",Sólido,Armazenamento Temporário,I,Reciclável
60,83683,Bateria NiCd,Pilha e Bateria,Big-Bags,Sólido,Remanufatura,II-A,Reciclável
60,83683,Bateria NiCd,Pilha e Bateria,Big-Bags,Sólido,Remanufatura,II-A,Reciclável
60,77182,Papel Brilhante ,Recicláveis,Barrica de Papelão,Sólido,Reprocessamento ,II-B,Reciclável
60,77182,Papel Brilhante ,Recicláveis,Barrica de Papelão,Sólido,Coprocessamento,II-A,Reciclável
60,77182,Papel Brilhante ,Recicláveis,Barrica de Papelão,Sólido,Reciclagem,II-A,Reciclável
60,77182,Papel Brilhante ,Recicláveis,Barrica de Papelão,Sólido,Reprocessamento ,II-B,Reciclável
60,77182,Papel Brilhante ,Recicláveis,Barrica de Papelão,Sólido,Coprocessamento,II-A,Reciclável
60,77182,Papel Brilhante ,Recicláveis,Barrica de Papelão,Sólido,Reciclagem,II-A,Reciclável
60,59017,Baterias elétricas,Sucata Eletrônica,Baia,Sólido,Armazenamento Temporário,II-A,Reciclável
60,126264,APARAS DE PAPEL AZUL,Construção Civil,Baia,Sólido,Aterro Comum,II-A,Reciclável
60,54210, Guias e revistas dos ciclos de venda,Construção Civil,Baia,Gasoso,Armazenamento Temporário,II-A,Reciclável
60,54210, Guias e revistas dos ciclos de venda,Construção Civil,Baia,Gasoso,Armazenamento Temporário,II-A,Reciclável
60,83683,Bateria NiCd,Pilha e Bateria,Big-Bags,Sólido,Remanufatura,II-A,Reciclável
60,114062,Balde roxo 1111,Recicláveis,Barrica de Papelão,Sólido,Reciclagem,II-A,Reciclável
60,128361,Teste_cod_interno,Agrícola,Big-Bags,Sólido,Aterro Comum,I,Reciclável
60,54210, Guias e revistas dos ciclos de venda,Construção Civil,Baia,Gasoso,Armazenamento Temporário,II-A,Reciclável
60,130156,teste1,Jardinagem,Baia,Sólido,Aterro Comum,A,Reciclável
60,130156,teste1,Jardinagem,Baia,Sólido,Aterro Comum,A,Reciclável
60,130158,Papel Lucas2,Recicláveis,Baia,Sólido,Aterro Comum,II-A,Reciclável
60,130158,Papel Lucas2,Recicláveis,Baia,Sólido,Aterro Comum,II-A,Reciclável
60,77624,APARA DE PLASTICO MISTO,Agrícola,Barrica de Papelão,Líquido,Aterro Comum,II-A,Reciclável
60,130668,Papel Lucas22,Recicláveis,Baia,Gasoso,Armazenamento Temporário,II-B,Reciclável
60,131558,MOCHILA ,Recicláveis,Caixa de Papelão,Sólido,Reciclagem,II-A,Reciclável
60,131666,teste teste,Agrícola,Barrica de Papelão,Sólido,Armazenamento Temporário,D,Reciclável
60,133550,PARAMENTOL teste,Efluente Doméstico,Barrica de Papelão,Gasoso,Armazenamento Temporário,II-B,Efluente Industrial
35856,133371,Madeira,Madeira,Granel,Sólido,Reciclagem,II-A,Reciclável
8169,55014,Semente de milho tratada,Tipo de Resíduo,Granel,Sólido,Reciclagem,II-A,Reciclável
8169,55014,Semente de milho tratada,Tipo de Resíduo,Granel,Sólido,Coprocessamento,II-A,Reciclável
8169,56700,Semente de Milho Tratada,Tipo de Resíduo,Granel,Sólido,Reciclagem,II-A,Reciclável
8169,56700,Semente de Milho Tratada,Tipo de Resíduo,Granel,Sólido,Compostagem,II-A,Reciclável
8169,56700,Semente de Milho Tratada,Tipo de Resíduo,Granel,Sólido,Coprocessamento,II-A,Reciclável
8169,55014,Semente de milho tratada,Tipo de Resíduo,Granel,Sólido,Reciclagem,II-A,Reciclável
8169,55014,Semente de milho tratada,Tipo de Resíduo,Granel,Sólido,Coprocessamento,II-A,Reciclável
8169,122673,Semente tratada de milho CD - UDI,Resíduos Comerciais,Granel,Sólido,Reciclagem,II-A,Reciclável
8169,122673,Semente tratada de milho CD - UDI,Resíduos Comerciais,Granel,Sólido,Coprocessamento,II-A,Reciclável
8169,54267,Semente de Milho Tratada,Tipo de Resíduo,Carroceria 30 m³,Sólido,Reciclagem,II-A,Reciclável
8169,54267,Semente de Milho Tratada,Tipo de Resíduo,Carroceria 30 m³,Sólido,Coprocessamento,II-A,Reciclável
8169,56901,Semente Milho Tratada,Agrícola,Granel,Sólido,Reciclagem,II-A,Reciclável
8169,56901,Semente Milho Tratada,Agrícola,Granel,Sólido,Coprocessamento,II-A,Reciclável
8169,55399,Semente de Milho Tratada,Sólidos Diversos,Big-Bags,Sólido,Reciclagem,II-A,Reciclável
8169,55399,Semente de Milho Tratada,Sólidos Diversos,Big-Bags,Sólido,Coprocessamento,II-A,Não Reciclável
7003,65168,Lâmpadas Fluorescente,Recicláveis,Caixa de Madeira,Sólido,Reciclagem,I,Reciclável
6994,65204,Embalagens vazia não limpa (Bombonas),Embalagem Contaminada,Granel,Sólido,Aterro Industrial,I,Reciclável
6994,65204,Embalagens vazia não limpa (Bombonas),Embalagem Contaminada,Granel,Sólido,Coprocessamento,I,Reciclável
6994,65204,Embalagens vazia não limpa (Bombonas),Embalagem Contaminada,Granel,Sólido,Reciclagem,II-B,Reciclável
6994,75505,BOMBONAS PLÁSTICAS NÃO CONTAMINADAS ,Sólidos Diversos,Granel,Sólido,Reciclagem,II-B,Reciclável
6994,75505,BOMBONAS PLÁSTICAS NÃO CONTAMINADAS ,Sólidos Diversos,Granel,Sólido,Reciclagem,II-B,Reciclável
7004,65168,Lâmpadas Fluorescente,Recicláveis,Caixa de Madeira,Sólido,Reciclagem,I,Reciclável
35874,133680,"Sucata de metais ferrosos (aço, ferro, etc.)",Metal Ferroso,Caçamba Poli - 5m³,Sólido,Reciclagem,II-A,Reciclável
35875,54236,Embalagens Plásticas Não Contaminadas,Sólidos Diversos,IBC,Sólido,Reciclagem,II-A,Reciclável
34404,128434,ALUMÍNIO,Metal,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,128435,PAPEL,Papéis,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,128436,PAPELÃO,Papéis,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,128437,PLÁSTICO,Plásticos,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,128439,VIDRO,Vidro,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,128440,ELETRÔNICOS,Sucata Eletrônica,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,128445,ALUMÍNIO,Metal,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,128446,PAPEL,Papéis,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,128447,PAPELÃO,Papéis,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,128448,PLÁSTICO,Plásticos,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,128449,VIDRO,Vidro,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,128450,ELETRÔNICOS,Sucata Eletrônica,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,128451,ALUMÍNIO,Metal,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,128452,PAPEL,Papéis,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,128453,PAPELÃO,Papéis,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,128454,PLÁSTICO,Plásticos,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,128455,ELETRÔNICOS,Sucata Eletrônica,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,128456,VIDRO,Vidro,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,128457,ALUMÍNIO,Metal,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,128458,PAPEL,Papéis,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,128459,PAPELÃO,Papéis,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,128460,PLÁSTICO,Plásticos,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,128461,VIDRO,Vidro,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,128462,ELETRÔNICOS,Sucata Eletrônica,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,129224,Recicláveis,Recicláveis,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,129225,Recicláveis,Recicláveis,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,129226,Recicláveis,Recicláveis,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,129227,Recicláveis,Recicláveis,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,130474,PAPEL BRANCO,Papéis,Granel,Sólido,Reciclagem,II-A,Reciclável
34404,130476,PAPEL MISTO,Papéis,Granel,Sólido,Reciclagem,II-A,Reciclável
34404,130478,PVC CANO,Plásticos,Granel,Sólido,Reciclagem,II-B,Reciclável
34404,130479,ALUMÍNIO LATINHA,Metal,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,130480,PET,Plásticos,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,130481,PLÁSTICO FILME,Plásticos,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,130482,FERRO,Metal Ferroso,Granel,Sólido,Reciclagem,II-B,Reciclável
34404,130492,PAPEL BRANCO,Papéis,Granel,Sólido,Reciclagem,II-A,Reciclável
34404,130493,PAPEL MISTO,Papéis,Granel,Sólido,Reciclagem,II-A,Reciclável
34404,130494,PLÁSTICO FILME,Plásticos,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,130495,PET,Plásticos,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,130496,PVC CANO,Plásticos,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,130497,FERRO,Metal Ferroso,Granel,Sólido,Reciclagem,II-B,Reciclável
34404,130580,VIDRO,Vidro,Granel,Sólido,Reciclagem,II-B,Reciclável
34404,130581,ÓLEO DE COZINHA,Líquidos Diversos,Bombona Plástica,Líquido,Reciclagem,II-A,Reciclável
34404,130582,ÓLEO DE COZINHA,Líquidos Diversos,Bombona Plástica,Líquido,Reciclagem,II-A,Reciclável
34404,131553,PET VERDE,Plásticos,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,131554,PET AZUL,Plásticos,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,131555,PET CRISTAL,Plásticos,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,131556,CAIXA DE OVO,Papéis,Big-Bags,Sólido,Reciclagem,II-A,Reciclável
34404,131557,Pet Branco,Plásticos,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,131559,PET AZUL,Plásticos,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,131560,PET VERDE,Plásticos,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,131561,Pet Branco,Plásticos,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,131562,PET CRISTAL,Plásticos,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
34404,131563,Óleo Residual,Líquidos Diversos,Bombona 5 Litros,Líquido,Reciclagem,II-A,Reciclável
34404,131564,CAIXA DE OVO,Papéis,Big-Bags,Sólido,Reciclagem,II-A,Reciclável
34404,131638,TETRA PAK,Recicláveis,Big-Bags,Sólido,Reciclagem,II-B,Reciclável
